total_features,praat_count,os_pcm_fftMag_spectralSlope_sma_upleveltime90,os_pcm_zcr_sma_min,os_audspec_lengthL1norm_sma_leftctime,os_audspec_lengthL1norm_sma_kurtosis,lb_global_mfcc_mean,os_voiceProb_sma_linregc1,os_audspec_lengthL1norm_sma_maxSegLen,os_pcm_zcr_sma_linregc2,os_pcm_zcr_sma_de_skewness,os_audspec_lengthL1norm_sma_meanSegLen,os_audspecRasta_lengthL1norm_sma_maxPos,os_slope500-1500_sma3,opensmile_count,os_pcm_loudness_sma_minPos,os_F0_sma_linregc1,os_audspec_lengthL1norm_sma_upleveltime25,os_logHNR_sma_de_lpc1,os_pcm_fftMag_spectralEntropy_sma_de_minPos,librosa_count,os_pcm_zcr_sma_maxPos,os_audspec_lengthL1norm_sma_upleveltime90,os_audspec_lengthL1norm_sma_maxPos,os_audspec_lengthL1norm_sma_upleveltime75,label
0.0,0.0,0.3085681552149115,-0.1643989873053573,-0.3217364472972776,0.4128568511663744,-0.2460944805906485,0.1351143935674125,-0.3687564688887225,-0.6979261336498939,0.3342497157528907,-0.1521890823202132,0.1942345181760453,0.7467999224849962,0.0,-0.5788534562063481,0.1147182178418159,-0.5227466148933558,0.4538210371464389,-0.944986074283914,0.0,1.239580032390566,0.0466610381555051,1.420107920977994,0.0501361914693746,0
0.0,0.0,-0.0733376203607879,-0.1643989873053573,-0.0960103420051711,-0.6893500575633257,0.0957948474784173,-1.411121633608578,-1.4058509892572026,0.113322404347255,0.2194096425153403,-0.5393212072646112,-0.5627803769609726,-2.840438192644778,0.0,0.1659063578161072,-0.9629310670232708,0.789852390771335,0.5873212014106278,0.1149236217505559,0.0,-1.2393841061623163,-0.4419497423811895,1.2833235778965812,-0.6688988437483514,0
0.0,0.0,0.104129381277312,-0.1643989873053573,0.5099308584960619,-0.2391518256342991,-0.7663395846635677,-0.4584678740491144,0.3113383916837121,-1.307554433642087,0.0591922262212953,-0.4267380288175304,1.4911427781705584,-0.9599168769226846,0.0,-1.0607302496048383,-0.0684592987929832,0.116229137188957,-0.8336354425888751,1.2271109740821182,0.0,0.3435792481082546,-0.1210921321036536,-0.8179234042856598,-0.4598492124786906,0
0.0,0.0,-0.7261463554628939,-0.1643989873053573,-1.181114242736703,-0.9135461302788896,0.5047097062385766,0.1878494513938952,0.6304444857364792,-0.4772693498746289,-0.7006927166411,0.3735322850665653,-1.6579348892879655,0.4041910974012512,0.0,0.8798984516966871,0.3441310869097199,1.821748962709408,-0.1515400128437351,-0.9451795127500248,0.0,0.0300219266671772,0.1597779672958479,-0.972840058837589,0.601687692206782,1
0.0,0.0,0.3019095484548314,-0.1643989873053573,-1.157815758425329,-0.3849018609088257,-0.6559677554869833,-0.1435272616792346,0.3352711300053598,0.3108663819462297,0.0213622916209273,-0.0760737821358328,-0.688735415838831,-1.0122968099657634,0.0,-0.7419676196055554,-0.2704359477521609,-0.6793936603995616,0.5218993557911951,-0.3536485078737051,0.0,-0.3064436922307824,-0.7793288367368486,-1.0938466679646983,-0.9312038882159976,0
0.0,0.0,0.3904747539879812,6.08276253029822,1.829885889198315,0.0587369816724684,-0.1691457252251883,-0.5919213613657479,-1.3559906739490837,0.3536481687673741,0.9901074271869692,-0.2827489543634273,-1.3486063634620389,-1.455853188835207,0.0,-1.0607302496048383,-0.504818484364976,-1.2593573958355535,1.3468573779102435,-0.7451694012102493,0.0,0.9549444364888028,-0.7927873912879116,-1.1730660718857364,-0.966207578529513,1
0.0,0.0,0.2702277722122683,-0.1643989873053573,1.3270892890464012,0.115574790952728,-0.1583157821419706,0.4496745170184303,-0.1194548923481259,1.835717049589824,0.2471875918715442,0.1616028704579491,1.4068960681517844,0.7614188392220523,0.0,-1.0607302496048383,0.2155760136042337,-0.1597978616543477,-1.8684308438858448,-0.945065323684849,0.0,-1.4197869486352652,1.2962561428841883,-0.824538509579767,0.5954373238395887,0
0.0,0.0,-0.0268069925588978,-0.1643989873053573,-1.304658992508901,-0.6667957651604954,-0.5919822599366887,-0.1581431899672798,0.2435283324323484,-0.3052972491139387,-0.912496009702308,-0.4124324995490522,-0.0227128450600557,0.7685940602984653,0.0,-1.0607302496048383,0.133479130627078,1.169492850265725,-0.1810173741172085,-0.9444242090910436,0.0,0.347301846444998,0.9360496838459093,-0.2715861097047083,0.1417066341566043,0
0.0,0.0,-0.1497202848506892,-0.1643989873053573,-0.4048765166357975,-0.3854554878108325,1.6275010861803527,-0.0701361958433953,-0.1892592196582875,-0.6478388278649768,-0.6797770717524299,-0.0321607513790254,0.013872789636899,0.1299806848711131,0.0,-1.0607302496048383,-0.0020091354765796,0.2532741222931423,1.516917765301096,0.4280845356661804,0.0,-0.9301220904944046,0.1838736850380313,1.0071394244010787,-0.0433994174696721,1
0.0,0.0,0.1670412533650788,-0.1643989873053573,0.3753173935859022,-0.243251145771966,-0.5636461247877091,1.3199219625780996,-1.4776497748281714,1.6982927920488091,-1.8087616670340072,-0.3449902879011132,0.5055979316108759,-1.2945436599687263,0.0,0.3658965387382975,0.7365179363503871,0.4924433988419179,0.7810931294838676,-0.9434347509804998,0.0,-0.3402334309796839,3.2337193112637785,0.3807960914875597,2.602072304817005,1
0.0,0.0,0.1558198067011746,-0.1643989873053573,1.5140533903549855,-0.227308726738029,-1.0282904110365982,0.3209499095863681,1.3524216383717973,0.6255475401712611,1.021013923255796,0.2513942990169102,-1.2576101407367777,1.9854438878546268,0.0,-1.0607302496048383,0.6004893090446557,-0.120938891740979,0.7747198332732026,-0.0764725066499743,0.0,0.7373156106484202,-0.9584753119574508,0.802519224466729,-0.5993710267333,0
0.0,0.0,0.6280148711312746,-0.1643989873053573,0.0360230028262096,1.5488804870701458,-1.2671496810791365,0.0057421454223937,0.6124947417932348,-0.7055691219110958,2.104727182826829,1.0927428294692274,-1.5234922657620351,0.4433891522942461,0.0,-0.1150753217148434,0.3233653181074589,-1.862878463993929,-1.9338904734759117,1.8190857582001732,0.0,-0.1394994745137522,-0.8785468548649484,-1.1196544892189386,-0.98571029840132,0
